date,open,high,low,close,volume,rsi
2021-03-22,49.98,51.209999,49.869999,51.200001,10092000.0,50.25965717770962
2021-03-19,49.220001,49.48,48.889999,49.209999,6788800.0,47.01152423607735
2021-03-18,49.470001,49.970001,49.279999,49.330002,9792200.0,47.19365078675434
2021-03-17,49.799999,50.119999,49.09,50.07,13008100.0,48.32502302597806
2021-03-16,49.950001,50.470001,49.860001,50.049999,16767800.0,48.29218890934211
2021-03-15,48.580002,48.779999,48.130001,48.77,10645400.0,46.146107769385324
2021-03-12,48.27,48.580002,47.880001,48.419998,8919800.0,45.54041655960412
2021-03-11,48.950001,49.27,48.59,48.669998,12653900.0,45.90179261985581
2021-03-10,50.200001,50.290001,49.700001,49.810001,12728700.0,47.5893728251508
2021-03-09,49.400002,49.880001,49.07,49.27,15539100.0,46.679365836438464
2021-03-08,47.75,48.470001,47.66,48.189999,11753000.0,44.800856404790196
2021-03-05,47.57,48.119999,47.150002,48.060001,11174800.0,44.570501421019884
2021-03-04,47.59,47.950001,46.48,47.23,15996400.0,43.08434320999131
2021-03-03,47.639999,47.639999,46.849998,47.16,14031700.0,42.95793804744943
2021-03-02,48.400002,48.43,47.669998,47.73,14356500.0,43.73301599382229
2021-03-01,48.459999,48.68,48.080002,48.09,11384700.0,44.22691979330656
2021-02-26,48.849998,48.919998,47.98,48.380001,8551200.0,44.62478147217621
2021-02-25,49.849998,49.869999,48.75,48.91,12795900.0,45.35554598113977
2021-02-24,49.66,50.32,49.509998,50.099998,12218600.0,47.05092485042586
2021-02-23,50.700001,50.77,49.220001,49.310001,14535900.0,45.73117359825156
2021-02-22,50.669998,50.810001,50.360001,50.57,10776000.0,47.585024645353215
2021-02-19,51.130001,51.16,50.549999,50.59,6895600.0,47.61505030851487
2021-02-18,51.490002,51.98,51.41,51.5,9762100.0,48.99352392994916
2021-02-17,51.049999,51.790001,50.849998,51.450001,9514000.0,48.913889100210795
2021-02-16,51.02,51.259998,50.599998,50.889999,8823300.0,48.0231677153785
2021-02-12,50.93,51.740002,50.799999,51.689999,11856400.0,49.224737307335026
